Sno,Meaning,Sentence,Abinaya,Aishwarya,Aishwarya,Aishwarya,Kandy,Kandy,Kandy,Rahini,Rahini,Sharly,Sharly,Swathi,Swathi
1,I sleep and you sleep,நான் தூங்குகிறேன் மற்றும் நீ தூங்குகிறாய்,நானும் நீயும் தூங்குகிறோம் ,நான் தூங்குகிறேன் நீ தூங்குகிறாய் ,நான் தூங்குகிறேன் நீயும் தூங்குகிறாய் ,நானும் நீயும் தூங்குகிறோம் ,நான்  மற்றும் நீ தூங்குகிறோம்,நானும்   நீயும் தூங்குகிறோம்,நான் தூங்குகிறேன் மற்றும் நீயும் ,நான் மற்றும் நீ தூங்குகிறோம்,நானும் நீயும் தூங்குகிறோம்,நான்  மற்றும் நீ தூங்குகிறோம் ,நாம்  தூங்குகின்றோம் ,நான்  மற்றும் நீ தூங்குகிறோம்,நானும்   நீயும் தூங்குகிறோம்
2,Hans is sleeping and Peter is sleeping,செந்தில் தூங்குகிறார் மற்றும் ராஜேஷ் தூங்குகிறார்,செந்தில் மற்றும் ராஜேஷ் தூங்குகிறார்கள் ,செந்தில் மற்றும் ராஜேஷ் தூங்குகிறார்கள் ,செந்தில் தூங்குகிறார் ராஜேஷ் தூங்குகிறார்,,செந்தில்  மற்றும் ராஜேஷ் தூங்குகிறார்கள்,செந்தில் தூங்குகிறார் மற்றும் ராஜேஷ் அவர்களும் ,,செந்தில் மற்றும் ராஜேஷ் தூங்குகிறார்கள் ,,செந்தில்  மற்றும் ராஜேஷ் தூங்குகிறார்கள் ,,செந்தில்  மற்றும் ராஜேஷ் தூங்குகிறார்கள்,செந்திலும்   ராஜேஷும் தூங்குகிறார்கள்
3,Hans wants to sleep and Peter wants to sleep,செந்தில் தூங்க விரும்புகிறார் மற்றும் ராஜேஷ் தூங்க விரும்புகிறார்,செந்தில் மற்றும் ராஜேஷ் தூங்க விரும்புகிறார்கள் ,செந்தில் மற்றும் ராஜேஷ் தூங்க விரும்புகிறார்கள் ,செந்தில் தூங்க விரும்புகிறார் ராஜேஷ் தூங்க விரும்புகிறார்,,செந்தில்   மற்றும் ராஜேஷ் தூங்க விரும்புகிறார்கள்,செந்தில் தூங்க விரும்புகிறார் மற்றும் ராஜேஷ் அவர்களும்  ,,செந்தில் மற்றும் ராஜேஷ் தூங்க விரும்புகிறார்கள் ,,செந்தில்  மற்றும் ராஜேஷ் தூங்க விரும்புகின்றனர் ,,செந்தில்   மற்றும் ராஜேஷ் தூங்க விரும்புகிறார்கள்,செந்திலும்    ராஜேஷும் தூங்க விரும்புகிறார்கள்
4,My wife wants to buy a car and my son wants to buy a motorcycle,எனது மனைவி ஒரு கார் வாங்க விரும்புகிறார் மற்றும் எனது மகன் ஒரு மோட்டார்வண்டி வாங்க விரும்புகிறார்,எனது மனைவி ஒரு கார் வாங்கவும் எனது மகன் ஒரு மோட்டார்வண்டி வாங்கவும் விரும்புகிறார்கள் ,எனது மனைவி ஒரு காரும் மகன் ஒரு மோட்டார்வண்டியும் வாங்க விரும்புகிறார்கள் ,,,எனது மனைவி ஒரு கார்   மற்றும் எனது மகன் ஒரு மோட்டார்வண்டி வாங்க விரும்புகிறார்கள்,எனது மனைவி ஒரு கார் வாங்க விரும்புகிறார் மற்றும் எனது மகன் ஒரு மோட்டார்வண்டி  ,,எனது மனைவி ஒரு கார் மற்றும் மகன் ஒரு மோட்டார்வண்டி வாங்க விரும்புகின்றனர் ,,எனது மனைவி ஒரு கார் மற்றும் எனது மகன் ஒரு மோட்டார்வண்டி வாங்க விரும்புகிறார்கள்,,எனது மனைவி ஒரு கார்   மற்றும் எனது மகன் ஒரு மோட்டார்வண்டி வாங்க விரும்புகிறார்கள்,
5,The driver was killed and the passengers were seriously injured,ஓட்டுநர் இறந்து விட்டார் மற்றும் பயணிகள் தீவிரமாக காயமடைந்து விட்டனர்,ஓட்டுநர் இறந்து விட்டார் மற்றும் பயணிகள் தீவிரமாக காயமடைந்து விட்டனர் ,ஓட்டுநர் இறந்து விட்டார் பயணிகள் தீவிரமாக காயமடைந்து விட்டனர்,ஓட்டுநர் இறந்தும் பயணிகள் தீவிரமாக காயமடைந்தும் விட்டனர்,,ஓட்டுநர் இறந்தும்   பயணிகள் தீவிரமாக காயமடைந்தும் விட்டனர்,ஓட்டுநர் இறந்து  மற்றும் பயணிகள் தீவிரமாக காயமடைந்து விட்டனர்,,ஓட்டுநர் இறந்து மற்றும் பயணிகள் தீவிரமாக காயமடைந்து விட்டனர் ,,,,ஓட்டுநர் இறந்து விட்டார்  பயணிகள் தீவிரமாக காயமடைந்து விட்டனர்,
6,Hans can sleep and Hans can dream,செந்தில் தூங்க முடியும் மற்றும் செந்தில் கனவுகாண முடியும்,செந்தில் தூங்க மற்றும் கனவுகாண முடியும்,செந்தில் தூங்க மற்றும் கனவுகாண முடியும்,செந்தில் தூங்கவும் கனவுக்காணவும் முடியும் ,,செந்தில் தூங்க  மற்றும்  கனவுகாண முடியும்,,,செந்தில் தூங்க மற்றும் கனவுகாண முடியும் ,,செந்தில் தூங்க முடியும் மற்றும் கனவுகாண முடியும்,,செந்தில் தூங்க  மற்றும்  கனவுகாண முடியும்,
7,I see Hans sleeping in the car and I see Hans sleeping on the bus,நான் காரின் உள்ளே செந்தில் தூங்குவதை காண்கிறேன் மற்றும் நான் பஸ்ஸின் உள்ளே ராஜேஷ் தூங்குவதை காண்கிறேன்,நான் காரின் உள்ளே செந்தில் தூங்குவதையும் பஸ்ஸின் உள்ளே ராஜேஷ் தூங்குவதையும் காண்கிறேன்,நான் காரின் உள்ளே செந்தில் தூங்குவதையும் பஸ்ஸின் உள்ளே ராஜேஷ் தூங்குவதையும் காண்கிறேன்,,,நான் காரின் உள்ளே செந்தில்   மற்றும்  பஸ்ஸின் உள்ளே ராஜேஷ் தூங்குவதையும் காண்கிறேன்,நான் காரின் உள்ளே செந்தில்   மற்றும்  பஸ்ஸின் உள்ளே ராஜேஷ் தூங்குவதை காண்கிறேன்,,நான் காரின் உள்ளே செந்தில் மற்றும் பஸ்ஸின் உள்ளே ராஜேஷ் தூங்குவதை காண்கிறேன் ,,நான் காரின் உள்ளே செந்தில் தூங்குவதை காண்கிறேன் மற்றும் பஸ்ஸின் உள்ளே ராஜேஷ் தூங்குவதை காண்கிறேன்,,நான் காரில்  செந்திலும்   மற்றும்  பஸ்ஸில்  ராஜேஷும் தூங்குவதை காண்கிறேன்,
8,Hans must be able to sleep and Peter must be able to sleep.,செந்தில் தூங்க முடியும் மற்றும் ராஜேஷ் தூங்க முடியும்,செந்தில் மற்றும் ராஜேஷ் தூங்க முடியும்,செந்தில் மற்றும் ராஜேஷ் தூங்க முடியும்,செந்தில் தூங்க முடியும்  ராஜேஷ் தூங்க முடியும்,,செந்தில்   மற்றும் ராஜேஷ் தூங்க முடியும்,செந்தில்   மற்றும் ராஜேஷ் தூங்க முடியும்,,செந்தில் மற்றும் ராஜேஷ் தூங்க முடியும் ,,செந்தில்  மற்றும் ராஜேஷ் தூங்க முடியும்,,செந்திலும்    ராஜேஷும் தூங்க முடியும்,
9,Hans eats apples and Peter eats pears,செந்தில் மாங்காய்கள் சாப்பிடுகிறார் மற்றும் ராஜேஷ் நெல்லிக்காய்கள் சாப்பிடுகிறார்,செந்தில் மாங்காய்களும் ராஜேஷ் நெல்லிக்காய்களும் சாப்பிடுகிறார்கள் ,செந்தில் மாங்காய்கள் சாப்பிடுகிறார் ராஜேஷ் நெல்லிக்காய்கள் சாப்பிடுகிறார்,செந்தில் மாங்காய்களும்  ராஜேஷ் நெல்லிக்காய்களும் சாப்பிடுகிறார்கள் ,,செந்தில் மாங்காய்கள்  மற்றும் ராஜேஷ் நெல்லிக்காய்கள் சாப்பிடுகிறார்கள் ,,,செந்தில் மாங்காய்கள்  மற்றும் ராஜேஷ் நெல்லிக்காய்கள் சாப்பிடுகிறார்கள் ,,செந்தில் மாங்காய்கள் மற்றும் ராஜேஷ் நெல்லிக்காய்கள் சாப்பிடுகிறார்கள்,,செந்தில் மாங்காய்கள்  மற்றும் ராஜேஷ் நெல்லிக்காய்கள் சாப்பிடுகிறார்கள்,
10,Hans eats apples and Peter eats pears,செந்தில் மாங்காய்கள் சாப்பிடுகிறார் மற்றும் நெல்லிக்காய்களை ராஜேஷ் சாப்பிடுகிறார்,செந்தில் மாங்காய்கள் சாப்பிடுகிறார் நெல்லிக்காய்களை ராஜேஷ் சாப்பிடுகிறார்,செந்தில் மாங்காய்கள் சாப்பிடுகிறார் நெல்லிக்காய்களை ராஜேஷ் சாப்பிடுகிறார்,,,செந்தில் மாங்காய்களையும்  மற்றும் நெல்லிக்காய்களை ராஜேஷ் சாப்பிடுகிறார்கள்,செந்தில் மாங்காய்கள் சாப்பிடுகிறார் மற்றும் நெல்லிக்காய்களை ராஜேஷ் ,,செந்தில் மாங்காய்கள் மற்றும் ராஜேஷ் நெல்லிக்காய்களை சாப்பிடுகிறார்கள் ,,,,,
